model_type,seed,num_conv_layers,parameter_count,training_time_sec,evaluation_time_sec,test_loss,test_accuracy,f1_macro,precision_macro,recall_macro,roc_auc_ovr,roc_auc_ovo
ECGCNN_VGG,42,4,7419,34.1916708946228,0.6447839736938477,0.35536292382400403,0.883153663438699,0.681693269152976,0.6157778632085782,0.8900712222710215,0.9772377236517619,0.9838677359223238
ECGCNN_VGG,52,4,7419,34.19461488723755,0.5901038646697998,0.5292384684520917,0.8296181253425909,0.6116305362725758,0.5633408175651616,0.8315755888134919,0.9553574933413224,0.9698229035493675
ECGCNN_VGG,62,4,7419,34.404937744140625,0.6598172187805176,0.3266390653313512,0.9006943175589256,0.7106118993613897,0.6533168965148195,0.8874669260614418,0.9742936631919384,0.9818402337256715
ECGCNN_VGG,22,5,11579,41.457181215286255,0.6913425922393799,0.3828367240128726,0.8911017723369268,0.6833994735325221,0.6303241344332703,0.875737632482857,0.9730395163415038,0.9819011903689034
ECGCNN_VGG,32,5,11579,41.27591156959534,0.7360377311706543,0.42945612144731254,0.866846336561301,0.6570611174367917,0.5983577760279976,0.8676724493665822,0.9680501576871283,0.9778988033562689
ECGCNN_VGG,42,5,11579,41.31593561172485,0.6950483322143555,0.49103358235672445,0.8511328339119313,0.6473247356230885,0.5752820069141602,0.8754068006696565,0.9703733474775691,0.9797235988071643
ECGCNN_VGG,52,5,11579,41.419047117233276,0.740178108215332,0.4127038548245047,0.8806413301662708,0.6803141646042763,0.6358463487860068,0.8613618618724306,0.971573891204673,0.9802908922907767
ECGCNN_VGG,62,5,11579,41.172279357910156,0.7256383895874023,0.31032220074077593,0.8985930933674402,0.6991071307393492,0.6338114425750927,0.8901965556056807,0.9780800130868746,0.9847995316190286
ECGCNN,22,1,6161,10.840359449386597,0.3866729736328125,0.6578823134629396,0.7258816005846884,0.5316965214321141,0.4928976316935513,0.8109934066834338,0.9476860387379684,0.9667155657753087
ECGCNN,32,1,6161,10.862339973449707,0.39693737030029297,0.5434511262134915,0.8236342042755345,0.6041479078381249,0.5459719400079643,0.8334031523799037,0.9577541454331401,0.9702941522931334
ECGCNN,42,1,6161,10.770202875137329,0.3563978672027588,0.7479702753307176,0.7039101041476339,0.5121585182739965,0.4703031299218674,0.7991339905792437,0.9365802210923787,0.956116002126605
ECGCNN,52,1,6161,10.87081265449524,0.3772616386413574,0.6409661339582318,0.7711949570619404,0.55842537931068,0.5067418707214678,0.8200458052274134,0.9493345603920249,0.9651057504944335
ECGCNN,62,1,6161,10.838659763336182,0.40407872200012207,0.48304827441699316,0.8311712040928193,0.6135006612314093,0.5562812786228954,0.8505943025658705,0.9622007288022123,0.9742862339296767
ECGCNN,22,2,6141,14.717152118682861,0.39575767517089844,0.4145942679069338,0.8459711310067605,0.6349949912396621,0.5788705602900934,0.8665678458013575,0.9699065725480697,0.9783594068991694
ECGCNN,32,2,6141,14.69990587234497,0.4135599136352539,0.7811313670917149,0.6659510323405811,0.5125584687531377,0.49753775929128324,0.793451780076457,0.9343292736224897,0.9530220717066967
